ロンドン橋が落ちる,ロンドン橋が倒れている,ろんどんばしおちる,ロンドン橋落ちる
落ちる、落ちる,落ちる、落ちる,おちるおちる,落ちる落ちる
ロンドン橋が落ちる,ロンドン橋が倒れている,ろんどんばしおちる,ロンドン橋落ちる
マイ・フェア・レディ,愛しの女性,さぁどうしよ,さぁどうしよ

あなたは幸せ、それを知っている場合は、手をたたく,あなたが幸せで、あなたがそれを知っているなら、あなたの手を拍手する,しあわせならてをたたこう,幸せなら手を叩こう
あなたは幸せ、それを知っている場合は、手をたたく,あなたが幸せで、あなたがそれを知っているなら、あなたの手を拍手する,しあわせならてをたたこう,幸せなら手を叩こう
場合は満足している、あなたはそれを知っているし、あなたの顔確かにそれが表示されます。,あなたが幸せで、あなたがそれを知っているなら、あなたの顔は確かにそれを示すでしょう,しあわせならたいどでしめそうよ,幸せなら態度で示そうよ
あなたは幸せ、それを知っている場合は、手をたたく,あなたが幸せで、あなたがそれを知っているなら、あなたの手を拍手する,ほらみんなでてをたたこう,ほらみんなで手を叩こう

これは、瞬間です。,これは瞬間です,やみをぬけ,闇を抜け
これは、日です。,これは今日のことですが、,いまこそ,今こそ
すべての私の疑問や悪魔を送信するとき,すべての疑いと悪魔を送るとき,ひかりめざしあるき,光目指し歩き
彼らの方法で,その途中で,だそう,だそう
あらゆる努力,すべての努力、,これまでの,これまでの
今まで作った,私は今までに作った,まいにちが,毎日が
遊びに来ています。,遊びに来ている、,むだではない,無駄ではない
今日、今ここでは、します。,今日はここに今ありますか？,まよいはない,迷いはない
これは、現時点では、します。,これは瞬間です。,こんやこそ,今夜こそ
これは、時間です。,これは時間ですが、,いまこそ,今こそ
時の勢いと瞬間,勢いと瞬間,うんめいがうごき,運命が動き
韻は、します。,韻を踏む,だすとき,出すとき
私はこの瞬間を与える,私にこの瞬間を与えてください,つみあげた,積み上げた
この貴重な機会,この貴重な機会,すべてが,全てが
私は私の過去を収集します,私は過去を集めます,むくわれるいま,報われる今
最後にいくつかの意味を見つけ,そして最後にいくらか意味をなさない,ひとつになる,ひとつになる
これは、現時点では、します。,これは瞬間ですが、,ときがきた,時が来た
ときに私がやったすべて,私がやったすべて,いまこそ,今こそ
すべての夢,すべての夢を見て、,にどとない,二度とない
腹黒いと叫んで、,スキミングと叫び、,はてしない,果てしない
なる,1,つ,1つになる,ときが,時が
これは、日です。,これは今日の日です,いまこそ,今こそ
輝きと輝き、それを見る,それが輝きと輝きを見て、,みはてぬゆめ,見果てぬ夢
ときにすべての私の住んでいます。,私がすべてのために住んでいたとき,てにいれる,手に入れる
私のものになります。,私のものになる,ときが,時が
これらすべての年のため,これらすべての年の間、,このゆめ,この夢
一人で、世界を直面しています。,私は一人で世界に直面しましたが、,このいのちが,この命が
今時間が来ていると,そして今、時が来た,いきるいみを,生きる意味を
それらに証明するために,それを証明する,いつけた,見つけた
私は自分でそれを作った,私は自分で作った,いきるいみを,生きる意味を
これは、瞬間です。,これは瞬間です,いまときが,今時が
私の最終のテスト,私の最終テスト,いまこそ,今こそ
運命の手招き、,運命は誘惑された、,さいごだぞ,最後だぞ
私は決して侮れない、,私は決して考えなかった、,うんめいの,運命の
次善の策,セカンドベスト,しれん,しれん
私はうつむかない,私は見下ろすつもりはないが、,ゆくては,行く手は
私が該当する必要があります。,私は落ちてはいけません,とおくとも,遠くとも
これは、現時点では、します。,これは瞬間ですが、,ときがきた,時が来た
すべてのそれらの甘い瞬間,それらのすべての最も甘い瞬間,まちわびたときが,待ちわびた時が
これは、瞬間です。,これは瞬間です,ときがきた,時が来た
すべて気のオッズ,すべてのオッズ,のがすな,逃すな
この日、または決して、,この日、または決して、,ふりかえる,振り返る
永遠に座っているよ,私は永遠に座るよ,ことはもはや,ことは最早
神々,と,神と,ない,ない
振り返ってみると、,私が振り返ると、,このひを,この日を
私は常にリコールは、,私はいつも思い出すでしょう、,わすれないぞ,忘れないぞ
瞬間、瞬間のため,瞬間、,このときに,この時に
これは、瞬間だった,これは瞬間でしたが、,すべてかけ,全て賭け
最高の瞬間,最大の瞬間,すばらしい,素晴らしい
それらすべての,それらのすべて,ときへ,時へ

話すことができない悲しみがあります,話せない悲しみがあります。,ことばにならない,言葉にならない
痛みは延々とがあります,痛みが続いています。,いたみとかなしみ,痛みと悲しみ
空のテーブル空の椅子,空のテーブルで空の椅子,からのいすとてーぶる,空の椅子とテーブル
今、私の友人は死んでいっています,今、私の友人は死んでしまった。,ともはもういない,友はもういない
